model,domain,fit,R2,AIC,params
Llama-2-7b-hf,code,exponential,0.9992,-51.3217,"[1.3401514283723583, 0.031432178632074904, 1.0487889362512193]"
Llama-2-7b-hf,code,power_law,0.9979,-45.5855,"[16.235697433454128, 1.0731431892013392, 1.0318054872101627]"
Llama-2-7b-hf,fiction,exponential,0.9958,-32.9438,"[3.3862254770598152, 0.045707870768691386, 1.3865172015246536]"
Llama-2-7b-hf,fiction,power_law,0.9947,-31.5427,"[151.16205607643147, 1.6330195458089043, 1.3835889561445325]"
Llama-2-7b-hf,wiki,exponential,0.9944,-35.0131,"[1.9592736274839033, 0.03082755946408807, 1.7242145318681616]"
Llama-2-7b-hf,wiki,power_law,0.9989,-44.5491,"[18.263190319071725, 0.9710519270556736, 1.682790303595388]"
Mistral-7B-v0.1,code,exponential,0.9895,-36.3583,"[1.207638085415398, 0.027541558827118163, 0.8767095831490396]"
Mistral-7B-v0.1,code,power_law,0.9971,-44.1789,"[8.607339966983082, 0.8492230080505172, 0.8365043362310692]"
Mistral-7B-v0.1,fiction,exponential,0.9997,-48.5581,"[3.2592540148137013, 0.046347459052017294, 1.5017927467420145]"
Mistral-7B-v0.1,fiction,power_law,0.9994,-45.0203,"[132.67433468389945, 1.6028928351599423, 1.4961376123909704]"
Mistral-7B-v0.1,wiki,exponential,0.9859,-29.7975,"[1.8333961861289625, 0.028690162254356676, 1.719358910758123]"
Mistral-7B-v0.1,wiki,power_law,0.9963,-37.7592,"[12.653274965569183, 0.8437647467882916, 1.6550095815532275]"
Qwen3-8B,code,exponential,0.982,-31.7539,"[1.106096412019789, 0.0166316536019294, 0.9387666188176841]"
Qwen3-8B,code,power_law,0.9995,-53.5294,"[3.914953898238264, 0.4855514142580265, 0.7754997189506156]"
Qwen3-8B,fiction,exponential,0.9958,-36.1788,"[2.5770038741615116, 0.045434963073623796, 2.5450695364476674]"
Qwen3-8B,fiction,power_law,0.9959,-36.3068,"[90.19580559421497, 1.5426357726889472, 2.538494376485014]"
Qwen3-8B,wiki,exponential,0.9672,-28.0252,"[1.427732429636239, 0.030779607649322017, 2.305358564935753]"
Qwen3-8B,wiki,power_law,0.9799,-30.9702,"[9.858579137782062, 0.8564658049600218, 2.2557087575283434]"
