model,domain,N,mean_H,std_H,n_sequences,n_positions_per_seq
Mistral-7B-v0.1,wiki,16,2.878189426958561,0.7446458548129173,200,20
Mistral-7B-v0.1,wiki,64,2.010022242039442,0.6104106500481784,200,20
Mistral-7B-v0.1,wiki,256,1.8009020314812658,0.5500687691876692,200,20
Mistral-7B-v0.1,wiki,512,1.748816844403744,0.5474222415665144,200,20
Mistral-7B-v0.1,wiki,1024,1.6980194677710534,0.5698013381388323,200,20
Mistral-7B-v0.1,wiki,2048,1.6321827677488328,0.5676111188559859,200,20
Mistral-7B-v0.1,fiction,16,3.054404862046242,0.8755409793666369,200,20
Mistral-7B-v0.1,fiction,64,1.6696380244195461,0.7063976172234069,200,20
Mistral-7B-v0.1,fiction,256,1.495338823646307,0.7108461914706635,200,20
Mistral-7B-v0.1,fiction,512,1.4953553374111652,0.7109871129913887,200,20
Mistral-7B-v0.1,fiction,1024,1.4923110009431837,0.7180788391154809,200,20
Mistral-7B-v0.1,fiction,2048,1.524184706121683,0.6691106705593797,200,20
Mistral-7B-v0.1,code,16,1.654276339262724,0.5979224439556127,200,20
Mistral-7B-v0.1,code,64,1.0824213314652442,0.612267999336094,200,20
Mistral-7B-v0.1,code,256,0.9373186492621899,0.5723689064057911,200,20
Mistral-7B-v0.1,code,512,0.8670143627524376,0.5098570388022553,200,20
Mistral-7B-v0.1,code,1024,0.8396193871200084,0.47894766073542505,200,20
Mistral-7B-v0.1,code,2048,0.8651171494424343,0.4988720714434658,200,20
