model,domain,N,mean_H,std_H,n_sequences,n_positions_per_seq
Llama-2-7b-hf,wiki,16,2.9207699708044528,0.7021120210425683,200,20
Llama-2-7b-hf,wiki,64,1.995890579104424,0.6264756036870637,200,20
Llama-2-7b-hf,wiki,256,1.7807035953700543,0.5928920051152328,200,20
Llama-2-7b-hf,wiki,512,1.7293564064204694,0.557560177222985,200,20
Llama-2-7b-hf,wiki,1024,1.7214256614148615,0.5597247026505193,200,20
Llama-2-7b-hf,wiki,2048,1.6667180186212065,0.5779881264714036,200,20
Llama-2-7b-hf,fiction,16,3.0162042596936227,0.8965902004144323,200,20
Llama-2-7b-hf,fiction,64,1.5682180789113045,0.6439022865007276,200,20
Llama-2-7b-hf,fiction,256,1.3408035812079908,0.6977422533835912,200,20
Llama-2-7b-hf,fiction,512,1.3442615129053592,0.6831877028931698,200,20
Llama-2-7b-hf,fiction,1024,1.4044352605938912,0.7000078759509183,200,20
Llama-2-7b-hf,fiction,2048,1.4565643359422682,0.6859678865254589,200,20
Llama-2-7b-hf,code,16,1.8592786549031728,0.7131861161651359,200,20
Llama-2-7b-hf,code,64,1.227984769552946,0.5591948920160317,200,20
Llama-2-7b-hf,code,256,1.0551976577341555,0.5344401731774868,200,20
Llama-2-7b-hf,code,512,1.0473172720074655,0.5348232627917416,200,20
Llama-2-7b-hf,code,1024,1.0328196807205676,0.5418549032027248,200,20
Llama-2-7b-hf,code,2048,1.0603092477321625,0.556957986722211,200,20
Mistral-7B-v0.1,wiki,16,2.878189426958561,0.7446458548129173,200,20
Mistral-7B-v0.1,wiki,64,2.010022242039442,0.6104106500481784,200,20
Mistral-7B-v0.1,wiki,256,1.8009020314812658,0.5500687691876692,200,20
Mistral-7B-v0.1,wiki,512,1.748816844403744,0.5474222415665144,200,20
Mistral-7B-v0.1,wiki,1024,1.6980194677710534,0.5698013381388323,200,20
Mistral-7B-v0.1,wiki,2048,1.6321827677488328,0.5676111188559859,200,20
Mistral-7B-v0.1,fiction,16,3.054404862046242,0.8755409793666369,200,20
Mistral-7B-v0.1,fiction,64,1.669638024419546,0.7063976172234069,200,20
Mistral-7B-v0.1,fiction,256,1.495338823646307,0.7108461914706635,200,20
Mistral-7B-v0.1,fiction,512,1.4953553374111652,0.7109871129913887,200,20
Mistral-7B-v0.1,fiction,1024,1.4923110009431837,0.7180788391154809,200,20
Mistral-7B-v0.1,fiction,2048,1.524184706121683,0.6691106705593797,200,20
Mistral-7B-v0.1,code,16,1.654276339262724,0.5979224439556127,200,20
Mistral-7B-v0.1,code,64,1.0824213314652442,0.612267999336094,200,20
Mistral-7B-v0.1,code,256,0.93731864926219,0.5723689064057911,200,20
Mistral-7B-v0.1,code,512,0.8670143627524376,0.5098570388022553,200,20
Mistral-7B-v0.1,code,1024,0.8396193871200084,0.478947660735425,200,20
Mistral-7B-v0.1,code,2048,0.8651171494424343,0.4988720714434658,200,20
Qwen3-8B,wiki,16,3.1780241651535035,0.7536804542547878,200,20
Qwen3-8B,wiki,64,2.5036100920140743,0.8274880567745101,200,20
Qwen3-8B,wiki,256,2.3704778776168824,0.7575292363461111,200,20
Qwen3-8B,wiki,512,2.346418807655573,0.7365188702161914,200,20
Qwen3-8B,wiki,1024,2.3211165291965004,0.7057742770965465,200,20
Qwen3-8B,wiki,2048,2.1846779325008394,0.6791211147642807,200,20
Qwen3-8B,fiction,16,3.790732574462891,0.9856501382694868,200,20
Qwen3-8B,fiction,64,2.685758655697108,0.8599485401685387,200,20
Qwen3-8B,fiction,256,2.543786775380373,0.8642125840788809,200,20
Qwen3-8B,fiction,512,2.5663931061923506,0.8672464531562156,200,20
Qwen3-8B,fiction,1024,2.5832983641624447,0.9439259461006594,200,20
Qwen3-8B,fiction,2048,2.486821825921536,0.8599093102365267,200,20
Qwen3-8B,code,16,1.7921125766932966,0.7244992488860267,200,20
Qwen3-8B,code,64,1.3045307607054712,0.6629127193506319,200,20
Qwen3-8B,code,256,1.030488624751568,0.5291142299540461,200,20
Qwen3-8B,code,512,0.9636691866517064,0.5131964399569701,200,20
Qwen3-8B,code,1024,0.9060134956240654,0.5190395749701011,200,20
Qwen3-8B,code,2048,0.88084983420372,0.5213307587459741,200,20
