model,domain,fit,R2,AIC,params
Mistral-7B-v0.1,code,exponential,0.9387,-24.3002,"[1.1871262938771872, 0.021057033799666728, 0.8046047924512659]"
Mistral-7B-v0.1,code,power_law,0.9818,-31.5861,"[3.8261304803941063, 0.4754524661069224, 0.6201285393786993]"
Mistral-7B-v0.1,fiction,exponential,0.9939,-31.4397,"[3.2843371746844148, 0.04769372238139221, 1.5202548927209214]"
Mistral-7B-v0.1,fiction,power_law,0.9933,-30.9251,"[160.08006485675492, 1.6761040550680077, 1.5169022289343603]"
Mistral-7B-v0.1,wiki,exponential,0.9917,-30.7317,"[2.15864695687048, 0.026953706347645188, 1.920576861736585]"
Mistral-7B-v0.1,wiki,power_law,0.9893,-29.1773,"[18.940337023957174, 0.9257200430174378, 1.8729005271777452]"
Qwen3-1.7B-Base,code,exponential,0.9961,-43.2583,"[1.0561887808452306, 0.024055195067231333, 0.8998804412706832]"
Qwen3-1.7B-Base,code,power_law,0.9833,-34.4954,"[8.772632300451354, 0.8883243643339439, 0.8757981179437091]"
Qwen3-1.7B-Base,fiction,exponential,0.9905,-31.0395,"[2.2692599587177487, 0.035994925534796225, 2.611439933306411]"
Qwen3-1.7B-Base,fiction,power_law,0.9941,-33.8716,"[30.011417322643364, 1.1315661809370015, 2.583018754227453]"
Qwen3-1.7B-Base,wiki,exponential,0.9831,-27.6759,"[1.7560704692279727, 0.021411829686844183, 2.284798219994811]"
Qwen3-1.7B-Base,wiki,power_law,0.9995,-49.1001,"[7.720183320639456, 0.6172695526696643, 2.138207905838533]"
