model,domain,N,mean_H,std_H,n_sequences,n_positions_per_seq
Llama-2-7b-hf,wiki,16,2.9207699708044528,0.7021120210425683,200,20
Llama-2-7b-hf,wiki,64,1.995890579104424,0.6264756036870637,200,20
Llama-2-7b-hf,wiki,256,1.7807035953700543,0.5928920051152328,200,20
Llama-2-7b-hf,wiki,512,1.7293564064204694,0.557560177222985,200,20
Llama-2-7b-hf,wiki,1024,1.7214256614148615,0.5597247026505193,200,20
Llama-2-7b-hf,wiki,2048,1.6667180186212065,0.5779881264714036,200,20
Llama-2-7b-hf,fiction,16,3.0162042596936227,0.8965902004144323,200,20
Llama-2-7b-hf,fiction,64,1.5682180789113045,0.6439022865007276,200,20
Llama-2-7b-hf,fiction,256,1.3408035812079908,0.6977422533835912,200,20
Llama-2-7b-hf,fiction,512,1.3442615129053592,0.6831877028931698,200,20
Llama-2-7b-hf,fiction,1024,1.4044352605938912,0.7000078759509183,200,20
Llama-2-7b-hf,fiction,2048,1.4565643359422682,0.6859678865254589,200,20
Llama-2-7b-hf,code,16,1.8592786549031732,0.7131861161651359,200,20
Llama-2-7b-hf,code,64,1.227984769552946,0.5591948920160317,200,20
Llama-2-7b-hf,code,256,1.0551976577341555,0.5344401731774868,200,20
Llama-2-7b-hf,code,512,1.0473172720074655,0.5348232627917416,200,20
Llama-2-7b-hf,code,1024,1.0328196807205676,0.5418549032027248,200,20
Llama-2-7b-hf,code,2048,1.0603092477321625,0.556957986722211,200,20
