domain,N,mean_H,std_H,n_sequences,model,n_positions_per_seq
wiki,16,3.3356494242548944,0.7610496235991252,200,Llama-2-7b-hf,
wiki,64,2.330842172831297,0.6925559755484213,200,Llama-2-7b-hf,
wiki,256,2.044454978555441,0.6808780258689636,200,Llama-2-7b-hf,
wiki,512,2.007710691422224,0.7097046796615762,200,Llama-2-7b-hf,
wiki,1024,1.900979095907772,0.708620281213875,200,Llama-2-7b-hf,
wiki,2048,1.56115729033947,2.134707138243181,200,Llama-2-7b-hf,
fiction,16,3.0229606915116314,0.9012601115009162,200,Llama-2-7b-hf,
fiction,64,1.577939005047083,0.664395198486382,200,Llama-2-7b-hf,
fiction,256,1.3485038277804853,0.7109669808384794,200,Llama-2-7b-hf,
fiction,512,1.349140511751175,0.6878098351873616,200,Llama-2-7b-hf,
fiction,1024,1.3989876351286383,0.7326667231022219,200,Llama-2-7b-hf,
fiction,2048,1.3689322477579118,2.253982187967304,200,Llama-2-7b-hf,
code,16,1.859170996040106,0.6764528466160068,200,Llama-2-7b-hf,
code,64,1.274209309577942,0.623238544234952,200,Llama-2-7b-hf,
code,256,1.057001920670271,0.5270966761543601,200,Llama-2-7b-hf,
code,512,1.0345689491033554,0.4934021500535416,200,Llama-2-7b-hf,
code,1024,1.0272989189624786,0.5716181692906136,200,Llama-2-7b-hf,
code,2048,1.224555907845497,3.0514007311236004,200,Llama-2-7b-hf,
wiki,16,3.534132376104593,0.8121895389470585,200,,
wiki,64,2.7216214876472957,0.7512708786423397,200,,
wiki,256,2.404751153051853,0.7713626092627354,200,,
wiki,512,2.308471017062664,0.6878475686469707,200,,
wiki,1024,2.228885071698357,0.6851976558437123,200,,
wiki,2048,2.211026895046234,2.4348783225660013,200,,
fiction,16,3.887225230097771,0.9504679300962816,200,,
fiction,64,2.837876837044954,0.7878118870090057,200,,
fiction,256,2.660183371812105,0.7978087823411569,200,,
fiction,512,2.649508406490088,0.7808127481972919,200,,
fiction,1024,2.6181145578973437,0.8417073184808797,200,,
fiction,2048,2.518386824727058,2.6781746844662577,200,,
code,16,1.6184496658742429,0.5883989779404185,200,,
code,64,1.127202294498682,0.4969568280561294,200,,
code,256,0.8862193430066108,0.3962902696887838,200,,
code,512,0.8776101994216441,0.3932785128039625,200,,
code,1024,0.9092828199793312,0.405577100603254,200,,
code,2048,0.928059297800064,1.7795063443035757,200,,
wiki,16,3.323273512870073,0.8021447216358464,200,Mistral-7B-v0.1,
wiki,64,2.304060997635126,0.659625097681551,200,Mistral-7B-v0.1,
wiki,256,1.9622303956151008,0.6313514268512961,200,Mistral-7B-v0.1,
wiki,512,1.884915478914976,0.6020674838924812,200,Mistral-7B-v0.1,
wiki,1024,1.8472400925089327,0.7115793004122072,200,Mistral-7B-v0.1,
wiki,2048,1.990968675017357,2.8298630371821347,200,Mistral-7B-v0.1,
fiction,16,3.051474827170372,0.8741090814451045,200,Mistral-7B-v0.1,
fiction,64,1.675435181289911,0.7111826418028128,200,Mistral-7B-v0.1,
fiction,256,1.5009399737715718,0.716065987031225,200,Mistral-7B-v0.1,
fiction,512,1.497529888033867,0.7126481462713969,200,Mistral-7B-v0.1,
fiction,1024,1.4708314630213906,0.7543679936934486,200,Mistral-7B-v0.1,
fiction,2048,1.6117252433300018,2.3313863359934204,200,Mistral-7B-v0.1,
code,16,1.6555054619908334,0.6328326816556759,200,Mistral-7B-v0.1,
code,64,1.1016559850275518,0.6016782738061034,200,Mistral-7B-v0.1,
code,256,0.940109962552786,0.6170781277312974,200,Mistral-7B-v0.1,
code,512,0.8167216599881649,0.5192177899491368,200,Mistral-7B-v0.1,
code,1024,0.8158326039594763,0.5436214067897118,200,Mistral-7B-v0.1,
code,2048,0.6592891693115235,1.523703557979316,200,Mistral-7B-v0.1,
wiki,16,3.1780241651535035,0.7536804542547878,200,Qwen3-8B,20.0
wiki,64,2.5036100920140743,0.8274880567745101,200,Qwen3-8B,20.0
wiki,256,2.3704778776168824,0.7575292363461111,200,Qwen3-8B,20.0
wiki,512,2.346418807655573,0.7365188702161914,200,Qwen3-8B,20.0
wiki,1024,2.3211165291965004,0.7057742770965465,200,Qwen3-8B,20.0
wiki,2048,2.1846779325008394,0.6791211147642807,200,Qwen3-8B,20.0
fiction,16,3.790732574462891,0.9856501382694868,200,Qwen3-8B,20.0
fiction,64,2.685758655697108,0.8599485401685387,200,Qwen3-8B,20.0
fiction,256,2.543786775380373,0.8642125840788809,200,Qwen3-8B,20.0
fiction,512,2.5663931061923506,0.8672464531562156,200,Qwen3-8B,20.0
fiction,1024,2.5832983641624447,0.9439259461006594,200,Qwen3-8B,20.0
fiction,2048,2.486821825921536,0.8599093102365267,200,Qwen3-8B,20.0
code,16,1.7921125766932966,0.7244992488860267,200,Qwen3-8B,20.0
code,64,1.3045307607054712,0.6629127193506319,200,Qwen3-8B,20.0
code,256,1.030488624751568,0.5291142299540461,200,Qwen3-8B,20.0
code,512,0.9636691866517064,0.5131964399569701,200,Qwen3-8B,20.0
code,1024,0.9060134956240654,0.5190395749701011,200,Qwen3-8B,20.0
code,2048,0.88084983420372,0.5213307587459741,200,Qwen3-8B,20.0
