model,domain,fit,R2,AIC,params
Llama-2-7b-hf,code,exponential,0.9482,-26.6099,"[1.2396138609424658, 0.029478893842057513, 1.0857962227038782]"
Llama-2-7b-hf,code,power_law,0.9377,-25.5033,"[18.61180956035877, 1.1424277386308286, 1.079075427751166]"
Llama-2-7b-hf,fiction,exponential,0.9992,-43.0539,"[3.2897096904052714, 0.04287772586839152, 1.366382347186773]"
Llama-2-7b-hf,fiction,power_law,0.9985,-39.1475,"[104.55500906919643, 1.4931343215890178, 1.3584667531032935]"
Llama-2-7b-hf,wiki,exponential,0.9228,-16.3792,"[2.1357979193529664, 0.023874298860108285, 1.8758230284871753]"
Llama-2-7b-hf,wiki,power_law,0.9625,-20.7088,"[7.073259875070887, 0.5111428149459647, 1.5944637282099756]"
Mistral-7B-v0.1,code,exponential,0.9387,-24.3002,"[1.1871263033998027, 0.021057034142628668, 0.8046047928614661]"
Mistral-7B-v0.1,code,power_law,0.9818,-31.5861,"[3.826130678000242, 0.47545248952050295, 0.6201285571576228]"
Mistral-7B-v0.1,fiction,exponential,0.9939,-31.4397,"[3.2843371746844148, 0.04769372238139221, 1.5202548927209214]"
Mistral-7B-v0.1,fiction,power_law,0.9933,-30.9251,"[160.08006485675492, 1.6761040550680077, 1.5169022289343603]"
Mistral-7B-v0.1,wiki,exponential,0.9917,-30.7317,"[2.158646950022725, 0.02695370620169609, 1.9205768615209078]"
Mistral-7B-v0.1,wiki,power_law,0.9893,-29.1773,"[18.940337594245264, 0.9257200542159283, 1.8729005298914723]"
Qwen3-1.7B-Base,code,exponential,0.9961,-43.2583,"[1.0561887808452306, 0.024055195067231333, 0.8998804412706832]"
Qwen3-1.7B-Base,code,power_law,0.9833,-34.4954,"[8.772631949596411, 0.8883243493225662, 0.8757981157536331]"
Qwen3-1.7B-Base,fiction,exponential,0.9905,-31.0395,"[2.2692599587177487, 0.035994925534796225, 2.611439933306411]"
Qwen3-1.7B-Base,fiction,power_law,0.9941,-33.8716,"[30.011417322643364, 1.1315661809370015, 2.583018754227453]"
Qwen3-1.7B-Base,wiki,exponential,0.9831,-27.6759,"[1.756070470055689, 0.021411829700716374, 2.2847982199777093]"
Qwen3-1.7B-Base,wiki,power_law,0.9995,-49.1001,"[7.720183462220518, 0.6172695599946245, 2.1382079101919724]"
